N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
88,CJ대한통운,"166,500",500,-0.30%,"5,000","37,983","22,812",22.45,"49,662",31.64,3.89,
89,대우건설,"8,990",100,+1.12%,"5,000","37,364","415,623",8.89,"6,006,969",10.10,11.06,
90,F&F,"483,000","2,000",-0.41%,500,"37,005","7,661",10.38,"52,087",N/A,N/A,
91,NH투자증권,"13,050",0,0.00%,"5,000","36,724","281,409",17.61,"572,994",4.88,10.32,
92,DB손해보험,"50,700",400,-0.78%,500,"35,896","70,800",43.29,"124,788",5.79,9.08,
93,대한전선,"4,185",965,+29.97%,500,"35,843","856,473",3.93,"270,166,898",298.93,0.92,
94,한국가스공사,"38,700","3,950",+11.37%,"5,000","35,725","92,313",7.35,"3,161,101",-18.20,-2.24,
95,현대미포조선,"88,100",700,+0.80%,"5,000","35,189","39,942",10.62,"329,413",-107.57,-0.84,
96,롯데쇼핑,"122,000","1,500",+1.24%,"5,000","34,512","28,289",11.41,"119,321",-4.58,-7.70,
97,휠라홀딩스,"56,600",400,+0.71%,"1,000","34,386","60,752",44.42,"253,595",18.06,10.94,
98,팬오션,"6,420",210,-3.17%,"1,000","34,319","534,570",9.62,"8,817,711",27.32,3.25,
99,씨에스윈드,"80,700",500,+0.62%,500,"34,032","42,171",10.32,"867,824",65.03,8.19,
100,한국항공우주,"34,550",950,+2.83%,"5,000","33,678","97,475",13.19,"742,014",437.34,6.39,
101,만도,"71,600","1,600",+2.29%,"1,000","33,621","46,957",24.89,"1,692,528",72.25,0.37,
102,신풍제약,"62,900","2,000",-3.08%,500,"33,328","52,985",9.71,"792,432",731.40,1.72,
103,BGF리테일,"192,000","9,000",+4.92%,"1,000","33,185","17,284",31.78,"44,865",26.22,18.60,
104,한화생명,"3,810",30,-0.78%,"5,000","33,091","868,530",7.53,"3,641,334",7.07,1.90,
105,현대오토에버,"119,500","11,000",+10.14%,500,"32,772","27,424",1.28,"505,172",42.59,11.09,
106,CJ,"111,500",500,+0.45%,"5,000","32,532","29,177",17.74,"91,248",-294.20,1.89,
107,키움증권,"124,000",500,-0.40%,"5,000","32,447","26,167",22.29,"79,086",3.31,27.63,
108,효성티앤씨,"743,000","31,000",+4.35%,"5,000","32,155","4,328",21.99,"108,948",12.55,25.10,
109,두산퓨얼셀,"48,950","2,450",+5.27%,100,"32,059","65,494",12.66,"2,398,901",276.55,4.18,
110,에스원,"82,000",800,+0.99%,500,"31,159","37,999",55.08,"55,740",20.85,10.48,
111,동서,"31,050",500,+1.64%,500,"30,957","99,700",3.48,"138,284",27.07,8.61,
112,일진머티리얼즈,"66,700",600,+0.91%,500,"30,756","46,111",9.46,"195,510",76.49,7.23,
113,메리츠증권,"4,480",70,-1.54%,"1,000","30,542","681,731",14.05,"1,871,488",4.95,13.08,
114,신세계,"305,500",500,-0.16%,"5,000","30,077","9,845",29.52,"73,137",-94.09,-2.81,
115,OCI,"126,000","3,000",-2.33%,"5,000","30,050","23,849",18.90,"244,126",-19.75,-9.89,
116,SK케미칼,"253,500","2,000",-0.78%,"5,000","29,790","11,751",18.91,"46,573",11.50,30.49,
117,GS리테일,"38,400",550,+1.45%,"1,000","29,568","77,000",11.75,"448,979",19.73,7.50,
118,한솔케미칼,"255,500",500,-0.20%,"5,000","28,961","11,335",41.31,"28,386",22.33,24.50,
119,제일기획,"25,050",350,+1.42%,200,"28,818","115,041",33.24,"328,425",17.37,16.11,
120,LG화학우,"370,000",0,0.00%,"5,000","28,449","7,689",65.84,"10,466",16.11,N/A,
121,현대차우,"115,000",500,+0.44%,"5,000","28,010","24,357",58.55,"92,917",13.92,N/A,
122,KCC,"314,500",500,+0.16%,"5,000","27,948","8,886",12.09,"29,539",3.24,12.79,
123,하이트진로,"39,650",450,+1.15%,"5,000","27,808","70,134",7.46,"664,013",34.30,8.23,
124,DL이앤씨,"140,500","1,000",+0.72%,"5,000","27,199","19,359",26.72,"115,444",N/A,N/A,
125,한샘,"111,500","1,500",+1.36%,"1,000","26,240","23,534",23.58,"40,956",35.77,10.83,
